"","genotype","master_id","date","site","tag_id","project","attachment","geno_layout","array","frag_n","size_tle","lat","long","region","visit_1","1_month_date","n_old_dead_1","n_new_dead_1","n_missing_1","n_broken_1","per_partial_dead_old_1","per_partial_dead_new_1","snails1","disease1","bleach1","condition1","comments1","visit_12","12_month_date","n_old_dead_12","n_new_dead_12","n_missing_12","n_broken_12","per_partial_dead_old_12","per_partial_dead_new_12","snails12","disease12","bleach12","condition12","comments12","month","day","year","monitor_month_1","monitor_day_1","monitor_year_1","monitor_month_12","monitor_day_12","monitor_year_12","1_month_duration","12_month_duration","irma","alive1","propalive1","alive12","propalive12","total_n"
"17","?","42156-O-1-140-?",2015-06-01,"O-1","140","Restoration","nails/cable ties","mixed/grouped","14",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,5,0,"N","N","N",1,NA,12,2016-04-26,4,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,1,0.2,110
"18","?","42156-O-1-131-?",2015-06-01,"O-1","131","Restoration","nails/cable ties","mixed/grouped","14",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-26,5,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,0,0,110
"19","?","42185-S-1-27-?",2015-06-30,"S-1","27","Restoration","nails/cable ties","mixed","3",5,"10-25",24.55279,-81.87891,"Key West",1,2015-09-08,0,0,0,0,20,0,"N","N","N",1,NA,12,2016-04-08,0,0,0,0,0,0,"N","N","N",1,"0",6,30,2015,9,8,2015,4,8,2016,70,283,0,5,1,5,1,110
"20","?","42185-S-1-26-?",2015-06-30,"S-1","26","Restoration","nails/cable ties","mixed","3",5,"10-25",24.55279,-81.87891,"Key West",1,2015-09-08,0,0,0,1,0,0,"N","N","N",1,NA,12,2016-04-08,0,0,1,0,0,0,"N","N","N",1,"BASE",6,30,2015,9,8,2015,4,8,2016,70,283,0,5,1,4,0.8,110
"21","?","42156-O-1-132-?",2015-06-01,"O-1","132","Restoration","nails/cable ties","mixed/grouped","14",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-26,5,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,0,0,110
"22","?","42474-S-2-364-?",2016-04-14,"S-2","364","Restoration","nails/cable ties","mixed","17",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,0,0,0,0,0,"N","N","N",1,NA,12,2017-05-12,1,0,0,0,0,0,"N","N","N",1,"0",4,14,2016,7,26,2016,5,12,2017,103,393,0,5,1,4,0.8,110
"23","1","43623-R-7-863-1",2019-06-07,"R-7","863","Restoration","nails/cable ties","grouped","7",5,"25-50",24.6214,-81.85681,"Key West",1,2019-07-30,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-05-19,0,0,0,0,0,0,"N","N","N",1,"0",6,7,2019,7,30,2019,5,19,2020,53,347,0,5,1,5,1,1585
"24","1","43623-R-7-864-1",2019-06-07,"R-7","864","Restoration","nails/cable ties","grouped","7",5,"25-50",24.6214,-81.85681,"Key West",1,2019-07-30,1,0,0,0,0,0,"N","N","N",1,NA,12,2020-05-19,0,0,0,0,0,0,"N","N","N",1,"0",6,7,2019,7,30,2019,5,19,2020,53,347,0,4,0.8,5,1,1585
"25","1","43623-R-7-865-1",2019-06-07,"R-7","865","Restoration","nails/cable ties","grouped","7",5,"25-50",24.6214,-81.85681,"Key West",1,2019-07-30,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-05-19,0,0,0,0,0,0,"N","N","N",1,"0",6,7,2019,7,30,2019,5,19,2020,53,347,0,5,1,5,1,1585
"26","1","43753-Y-1-65-1",2019-10-15,"Y-1","65","Restoration","nails/cable ties","grouped","7",5,"25-50",24.54123,-81.36023,"Lower Keys",1,2019-11-19,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-09-11,0,0,0,0,0,0,"N","N","N",1,"0",10,15,2019,11,19,2019,9,11,2020,35,332,0,5,1,5,1,1585
